---,Actor,Location,Rotation,Scale,Meshes
Row_17,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-184620.639497,Y=788822.021184,Z=5455.885004)","(Pitch=0.000000,Yaw=-179.346628,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_18,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-187217.266464,Y=868014.707129,Z=5455.885004)","(Pitch=0.000000,Yaw=-275.645870,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_19,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-267952.494555,Y=719356.879087,Z=6960.836992)","(Pitch=0.000000,Yaw=-179.346628,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_20,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-254576.441169,Y=795737.795788,Z=6960.836992)","(Pitch=0.000000,Yaw=-179.346628,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_21,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-257173.068136,Y=874930.481733,Z=6960.836992)","(Pitch=0.000000,Yaw=-275.645870,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_22,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=755371.072160,Y=873031.342962,Z=1430.345683)","(Pitch=0.000000,Yaw=-62.932104,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_23,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=856138.756344,Y=921247.070259,Z=1430.343769)","(Pitch=0.000000,Yaw=-62.932104,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_24,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=908058.662569,Y=750682.999161,Z=-341.849668)","(Pitch=0.000000,Yaw=-71.558890,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_25,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=906330.989478,Y=687970.266719,Z=1430.525136)","(Pitch=0.000000,Yaw=-116.674081,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_26,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=880001.602759,Y=632125.890903,Z=1430.525031)","(Pitch=0.000000,Yaw=-199.283321,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_27,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=838481.234841,Y=501536.546687,Z=2025.773231)","(Pitch=0.000000,Yaw=-98.523965,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_28,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=842782.475132,Y=416967.724162,Z=2025.773215)","(Pitch=0.000000,Yaw=-74.475651,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_29,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=921830.647193,Y=519095.193174,Z=3839.799463)","(Pitch=0.000000,Yaw=-98.523965,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_30,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=914614.277308,Y=440300.737104,Z=2025.773215)","(Pitch=0.000000,Yaw=-278.675240,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_31,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=853632.797252,Y=344800.337741,Z=2025.773215)","(Pitch=0.000000,Yaw=-183.037858,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_32,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=849305.071837,Y=263253.388656,Z=2025.773215)","(Pitch=0.000000,Yaw=-78.103471,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_33,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=852985.649385,Y=182910.100564,Z=2025.773215)","(Pitch=0.000000,Yaw=6.694964,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_34,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=858744.907964,Y=107332.331323,Z=2025.773215)","(Pitch=0.000000,Yaw=-78.819355,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_35,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=850295.331182,Y=36458.789180,Z=2025.773215)","(Pitch=0.000000,Yaw=98.098379,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_36,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=786026.618786,Y=-42546.733173,Z=2025.773215)","(Pitch=0.000000,Yaw=98.098379,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_37,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=868600.672528,Y=-45201.105588,Z=2025.773215)","(Pitch=0.000000,Yaw=5.005874,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_38,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=693862.133139,Y=-39490.814910,Z=1205.504426)","(Pitch=0.000000,Yaw=5.005874,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_39,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=610978.303379,Y=-39166.802326,Z=1205.504426)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_40,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=529398.679227,Y=-31732.536348,Z=1205.504426)","(Pitch=0.000000,Yaw=-96.389695,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_41,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=456582.614731,Y=-37531.036408,Z=1205.504426)","(Pitch=0.000000,Yaw=8.495429,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
